epoch,epoch_seconds,train_loss,train_dice,val_loss,val_dice,val_iou,lr,vram_allocated_mb,vram_reserved_mb
24,136.5399820804596,0.027201541096629027,0.9686162378601655,0.0700323541781732,0.9449324945278464,0.8969768298554304,2.3837389521772475e-05,352.27490234375,2594.0
25,136.51887226104736,0.02591242430869766,0.9699320649814033,0.07101925672401511,0.9446546574737272,0.8965572597623146,2.2525000000000002e-05,352.27490234375,2594.0
26,136.61986780166626,0.02518624653349181,0.9709772784150913,0.07412341922994643,0.9441495796012456,0.8956017093715876,2.1130712813983216e-05,352.27490234375,2594.0
27,136.57066774368286,0.024091938797959345,0.9721533817375352,0.07375641888569272,0.9440752066737624,0.8955124139157783,1.9669804065905465e-05,352.27490234375,2594.0
28,136.66624641418457,0.023813468824049274,0.9724035054027198,0.07725136931098643,0.9439888372201461,0.8954810688457533,1.81582797777255e-05,352.27490234375,2594.0
29,134.34208798408508,0.023777472622364102,0.9722947497406083,0.07650366047072032,0.9443645802177149,0.8959899727360101,1.661270052585142e-05,352.27490234375,2594.0
30,133.81242895126343,0.02292753388369848,0.9734098294932761,0.07631406090444043,0.9446330555846514,0.896489383300624,1.5050000000000005e-05,352.27490234375,2594.0
31,134.0454888343811,0.02255296837426498,0.9739703605313578,0.07478794612226979,0.9428038051588798,0.89329437959683,1.3487299474148584e-05,352.27490234375,2594.0
32,134.196147441864,0.021738654261973793,0.9746511076877494,0.07996526449209168,0.9441831526492428,0.8956311737427504,1.1941720222274499e-05,352.27490234375,2594.0
33,134.0119125843048,0.021129003184696356,0.9753672901040805,0.08074125189275022,0.9444374731103439,0.896049715473129,1.043019593409454e-05,352.27490234375,2594.0
34,134.20076370239258,0.020675224507738926,0.9758802420629528,0.08251143205497,0.9440088332621485,0.8954116388054606,8.969287186016789e-06,352.27490234375,2594.0
35,134.58326482772827,0.020276557320060735,0.976378538804446,0.08113988817092918,0.9435747042642483,0.8946145929634776,7.575000000000004e-06,352.27490234375,2594.0
36,134.04609656333923,0.020008427863623314,0.9766174579908948,0.08502607529480306,0.9438072469701744,0.8949946213715076,6.262610478227528e-06,352.27490234375,2594.0
37,134.01263785362244,0.01955604604361411,0.9771822600183124,0.08361569969427018,0.9439486982310535,0.8952584752584631,5.046497434935075e-06,352.27490234375,2594.0
38,134.035790681839,0.019340959293599837,0.9774360217168957,0.08502158892178346,0.944516019629974,0.8962868146943864,3.9399848591129576e-06,352.27490234375,2594.0
39,133.8469729423523,0.01916008730062502,0.9775137753190402,0.0853579192171021,0.9444145934085473,0.8960901032136204,2.9551959340945373e-06,352.27490234375,2594.0
40,134.0495445728302,0.01890671920061171,0.9778048890626024,0.08353311402930154,0.9446255917404413,0.8965110618313308,2.1029202134226412e-06,352.27490234375,2594.0
